iter	Logloss
0	0.6644291218
1	0.6413030437
2	0.6234395794
3	0.6081694243
4	0.5968336955
5	0.5880025576
6	0.5805104541
7	0.5744033738
8	0.5700636698
9	0.5656524983
10	0.5620624974
11	0.5591780979
12	0.5564183104
13	0.5543271495
14	0.5530056228
15	0.5515933285
16	0.5502351048
17	0.5491367315
18	0.5479827541
19	0.5467405783
20	0.545860048
21	0.5450442076
22	0.5440200408
23	0.5431534228
24	0.5423434329
25	0.5417263249
26	0.5412303085
27	0.5406664267
28	0.5401797008
29	0.5397728444
30	0.5392065458
31	0.5390211268
32	0.5384283848
33	0.5381449598
34	0.5378512461
35	0.537649607
36	0.5372600405
37	0.5368815837
38	0.5364910105
39	0.5361844393
40	0.5359044742
41	0.535648734
42	0.5353733245
43	0.5351359961
44	0.5347877701
45	0.5345628725
46	0.5344228091
47	0.5342416643
48	0.5341509634
49	0.5339670975
50	0.533817223
51	0.5336643673
52	0.5334393781
53	0.5332464123
54	0.5331242934
55	0.5330096005
56	0.5329181322
57	0.5328064901
58	0.532602959
59	0.5325042349
60	0.5324287606
61	0.5323305976
62	0.5322118257
63	0.5321473089
64	0.5320177051
65	0.5318777066
66	0.5317920728
67	0.5316212315
68	0.531446953
69	0.5313492788
70	0.5312541367
71	0.5312061025
72	0.5311126094
73	0.5309333023
74	0.530725919
75	0.5305984426
76	0.5305458652
77	0.5304711586
78	0.5303183618
79	0.5302472261
80	0.5302043227
81	0.5301340314
82	0.5300856577
83	0.5299829995
84	0.529902323
85	0.5298559347
86	0.5297938801
87	0.5297398176
88	0.5296645119
89	0.5295168183
90	0.5294682959
91	0.5294281814
92	0.5294044873
93	0.5293148362
94	0.5291239356
95	0.529006051
96	0.5289470297
97	0.5288983516
98	0.5288521046
99	0.5287784389
100	0.5286879689
101	0.5284987805
102	0.5284447883
103	0.5283484371
104	0.5282777135
105	0.5282348948
106	0.5281261639
107	0.5280731102
108	0.5280538488
109	0.5279713674
110	0.5279383244
111	0.5277865641
112	0.5277413906
113	0.527683806
114	0.5276363795
115	0.52757515
116	0.5274956258
117	0.5273855079
118	0.5273517322
119	0.5272555068
120	0.5272147224
121	0.5271561845
122	0.5270715776
123	0.5269515687
124	0.5269118068
125	0.5267662388
126	0.5266651049
127	0.5266013101
128	0.5265410832
129	0.526466179
130	0.5263562146
131	0.5263077587
132	0.5262627501
133	0.5262016102
134	0.5261287673
135	0.5260439446
136	0.5260088872
137	0.5259399757
138	0.5258886068
139	0.5258356222
140	0.5257702964
141	0.5257293083
142	0.5256358393
143	0.5255195204
144	0.5254399554
145	0.5253924643
146	0.5252969087
147	0.5252100157
148	0.525100056
149	0.5250657779
150	0.5250004098
151	0.5249542641
152	0.5248796285
153	0.5248084166
154	0.5247386049
155	0.5246834981
156	0.5246510292
157	0.5245520073
158	0.5244883513
159	0.5244027982
160	0.5243193681
161	0.5242458239
162	0.5241974752
163	0.5241062442
164	0.5240211578
165	0.5239502045
166	0.52389158
167	0.5238418763
168	0.5237844502
169	0.5236890036
170	0.5236335483
171	0.523590665
172	0.5235446881
173	0.5234652632
174	0.5234161414
175	0.5233694024
176	0.5233258642
177	0.5232795821
178	0.5232135774
179	0.5231752447
180	0.5230955158
181	0.5230842553
182	0.5230495143
183	0.5230087898
184	0.52295931
185	0.5229128565
186	0.5228733975
187	0.5228425211
188	0.522776621
189	0.5227308747
190	0.522652433
191	0.5225901857
192	0.5225541923
193	0.5224646531
194	0.5224121471
195	0.5223617176
196	0.5223237848
197	0.5222640904
198	0.5222386601
199	0.5221690704
200	0.5221105438
201	0.5220833562
202	0.5220587493
203	0.5220286299
204	0.5220017882
205	0.521971349
206	0.5219282149
207	0.5218618574
208	0.5218182568
209	0.5217939022
210	0.521775148
211	0.5217562226
212	0.521715983
213	0.5216841874
214	0.5215849106
215	0.5215411424
216	0.5215205203
217	0.5215038834
