iter	Passed	Remaining
0	183	91379
1	339	84505
2	505	83788
3	666	82693
4	801	79355
5	947	77995
6	1088	76651
7	1226	75453
8	1412	77070
9	1563	76587
10	1704	75775
11	1850	75245
12	1999	74894
13	2159	74955
14	2302	74448
15	2452	74181
16	2594	73713
17	2739	73346
18	2882	72971
19	3032	72776
20	3172	72360
21	3295	71599
22	3455	71655
23	3619	71788
24	3775	71728
25	3936	71767
26	4103	71885
27	4266	71914
28	4428	71930
29	4587	71867
30	4751	71879
31	4915	71889
32	5073	71793
33	5231	71698
34	5388	71584
35	5556	71613
36	5731	71719
37	5885	71555
38	6043	71441
39	6205	71366
40	6370	71319
41	6525	71160
42	6668	70873
43	6834	70832
44	6997	70751
45	7147	70539
46	7318	70535
47	7486	70498
48	7643	70351
49	7804	70239
50	7979	70249
51	8144	70164
52	8311	70098
53	8474	69991
54	8636	69873
55	8795	69737
56	8960	69639
57	9122	69522
58	9281	69378
59	9457	69353
60	9615	69202
61	9774	69053
62	9935	68916
63	10095	68775
64	10255	68629
65	10405	68425
66	10574	68338
67	10708	68028
68	10872	67912
69	11028	67743
70	11198	67662
71	11361	67538
72	11534	67469
73	11701	67363
74	11846	67129
75	12001	66953
76	12165	66830
77	12336	66745
78	12486	66543
79	12643	66379
80	12804	66234
81	12978	66158
82	13146	66050
83	13310	65920
84	13469	65764
85	13630	65617
86	13810	65561
87	13974	65425
88	14132	65264
89	14306	65175
90	14470	65039
91	14646	64952
92	14806	64798
93	14977	64687
94	15147	64577
95	15324	64489
96	15493	64370
97	15662	64249
98	15830	64119
99	16005	64020
100	16175	63900
101	16342	63769
102	16500	63599
103	16664	63452
104	16846	63374
105	16990	63152
106	17158	63021
107	17306	62815
108	17463	62643
109	17633	62518
110	17793	62356
111	17973	62265
112	18132	62101
113	18306	61983
114	18475	61851
115	18653	61749
116	18825	61624
117	19025	61591
118	19187	61431
119	19356	61296
120	19543	61216
121	19692	61014
122	19857	60864
123	20014	60687
124	20176	60530
125	20335	60360
126	20500	60210
127	20674	60085
128	20852	59971
129	21028	59850
130	21204	59729
131	21374	59589
132	21533	59419
133	21708	59292
134	21886	59175
135	22052	59021
136	22217	58868
137	22394	58745
138	22542	58545
139	22717	58415
140	22884	58265
141	23047	58106
142	23209	57942
143	23387	57819
144	23546	57649
145	23719	57510
146	23874	57330
147	24032	57158
148	24197	57002
149	24363	56849
150	24528	56691
151	24692	56533
152	24860	56382
153	25032	56241
154	25206	56104
155	25382	55972
156	25571	55865
157	25742	55720
158	25908	55565
159	26089	55441
160	26254	55280
161	26421	55126
162	26585	54965
163	26749	54803
164	26920	54656
165	27093	54514
166	27263	54364
167	27430	54207
168	27597	54051
169	27787	53940
170	27963	53801
171	28136	53655
172	28312	53514
173	28479	53357
174	28652	53211
175	28821	53058
176	28972	52870
